Timestamp,How often do you consume sausages?,Which aspects do you consider when you buy sausages? [Price],Which aspects do you consider when you buy sausages? [Taste],Which aspects do you consider when you buy sausages? [Appearance],"Which aspects do you consider when you buy sausages? [Special Features (organic, hand made, etc.)]",What is your view on halal meats?,Which kind of meat sausage do you think is better for you?
2016/04/19 4:17:55 PM MDT,Never,Not important,Not important,Not important,Not important,I prefer halal over regular meat,None!
2016/04/19 4:18:14 PM MDT,About once a week,Very important,Very important,Very important,Slightly important,I prefer regular meat over halal,WHO THE FUCK CARES
2016/04/19 4:18:24 PM MDT,About once a month,Very important,Slightly important,Slightly important,Slightly important,I prefer regular meat over halal,Lamb
2016/04/19 4:21:24 PM MDT,Never,Very important,Very important,Very important,Very important,I don't care / I don't know what halal is,SAUSAGE MADE FROM YUMMY VEGETABLES !!!
2016/04/19 4:21:40 PM MDT,About once a month,Very important,Moderately important,Slightly important,Not important,I don't care / I don't know what halal is,Chicken
2016/04/19 4:23:39 PM MDT,About once a month,Moderately important,Very important,Moderately important,Slightly important,I prefer regular meat over halal,Chicken
2016/04/19 4:28:25 PM MDT,About once a month,Very important,Slightly important,Slightly important,Slightly important,I don't care / I don't know what halal is,Chicken
2016/04/19 4:30:37 PM MDT,Less than once a month,Moderately important,Very important,Slightly important,Slightly important,I don't care / I don't know what halal is,Chicken
2016/04/19 4:50:15 PM MDT,Less than once a month,Moderately important,Very important,Very important,Moderately important,I don't care / I don't know what halal is,Chicken
2016/04/19 4:58:52 PM MDT,Less than once a month,Very important,Very important,Slightly important,Slightly important,I don't care / I don't know what halal is,Chicken
2016/04/19 5:03:05 PM MDT,Never,Very important,Very important,Not important,Slightly important,I prefer halal over regular meat,vegetarian 
2016/04/19 5:04:03 PM MDT,About once a month,Moderately important,Very important,Slightly important,Very important,I only eat halal meats,Chicken
2016/04/19 5:49:28 PM MDT,Less than once a month,Moderately important,Very important,Moderately important,Moderately important,I don't care / I don't know what halal is,Chicken
2016/04/19 6:45:49 PM MDT,About once a month,Moderately important,Very important,Not important,Not important,I don't care / I don't know what halal is,Beef
2016/04/19 7:21:25 PM MDT,Less than once a month,Moderately important,Very important,Moderately important,Not important,I don't care / I don't know what halal is,Chicken
2016/04/19 9:43:30 PM MDT,About once a month,Very important,Very important,Slightly important,Not important,I don't care / I don't know what halal is,Chicken
2016/04/20 5:41:13 PM MDT,Never,Slightly important,Very important,Moderately important,Not important,I don't care / I don't know what halal is,Beef
2016/04/20 6:11:10 PM MDT,Multiple times per week,Very important,Very important,Not important,Not important,I don't care / I don't know what halal is,any
2016/04/20 6:17:31 PM MDT,About once a month,Moderately important,Very important,Very important,Slightly important,I don't care / I don't know what halal is,Pork
2016/04/20 6:22:48 PM MDT,About once a week,Very important,Very important,Slightly important,Not important,I don't care / I don't know what halal is,Chicken
2016/04/20 6:31:51 PM MDT,Multiple times per week,Not important,Very important,Moderately important,Moderately important,I don't care / I don't know what halal is,Chicken
2016/04/20 6:52:54 PM MDT,Multiple times per week,Moderately important,Very important,Not important,Slightly important,I don't care / I don't know what halal is,all
2016/04/20 6:56:08 PM MDT,About once a week,Moderately important,Very important,Slightly important,Not important,I prefer halal over regular meat,Lamb
2016/04/20 6:58:14 PM MDT,About once a week,Very important,Very important,Not important,Moderately important,I only eat halal meats,Chicken
2016/04/20 6:59:40 PM MDT,Less than once a month,Moderately important,Very important,Moderately important,Not important,I don't care / I don't know what halal is,Lamb
2016/04/20 7:03:55 PM MDT,About once a month,Moderately important,Very important,Very important,Moderately important,I don't care / I don't know what halal is,Beef
2016/04/20 7:31:21 PM MDT,Less than once a month,Moderately important,Moderately important,Slightly important,Slightly important,I don't care / I don't know what halal is,Chicken
2016/04/20 7:33:01 PM MDT,About once a month,Moderately important,Moderately important,Slightly important,Not important,I don't care / I don't know what halal is,Chicken
2016/04/20 7:34:15 PM MDT,About once a month,Slightly important,Very important,Very important,Moderately important,I prefer regular meat over halal,Pork
2016/04/20 7:40:22 PM MDT,Less than once a month,Slightly important,Moderately important,Slightly important,Slightly important,I prefer halal over regular meat,Beef
2016/04/20 7:44:05 PM MDT,Multiple times per week,Very important,Very important,Not important,Slightly important,I don't care / I don't know what halal is,TOFU SAUSAGE
2016/04/20 7:45:49 PM MDT,Never,Very important,Moderately important,Slightly important,Not important,I don't care / I don't know what halal is,Chicken
2016/04/20 7:55:16 PM MDT,Never,Moderately important,Very important,Slightly important,Not important,I don't care / I don't know what halal is,all
2016/04/20 7:58:50 PM MDT,About once a month,Moderately important,Slightly important,Not important,Slightly important,I don't care / I don't know what halal is,Fake meat (chickpeas etc.)(or what ROIMAN says)
2016/04/20 8:00:54 PM MDT,About once a month,Slightly important,Moderately important,Slightly important,Not important,I don't care / I don't know what halal is,Pork
2016/04/20 8:02:52 PM MDT,About once a month,Moderately important,Very important,Moderately important,Slightly important,I don't care / I don't know what halal is,Chicken
2016/04/20 8:04:38 PM MDT,Less than once a month,Moderately important,Moderately important,Moderately important,Slightly important,I don't care / I don't know what halal is,Chicken
2016/04/20 8:16:18 PM MDT,Less than once a month,Slightly important,Moderately important,Moderately important,Moderately important,I don't care / I don't know what halal is,Chicken
2016/04/20 8:18:10 PM MDT,Less than once a month,Very important,Very important,Slightly important,Moderately important,I don't care / I don't know what halal is,Beef
2016/04/20 8:36:07 PM MDT,About once a week,Very important,Moderately important,Slightly important,Not important,I don't care / I don't know what halal is,Pork
2016/04/20 8:37:54 PM MDT,About once a week,Very important,Moderately important,Not important,Slightly important,I don't care / I don't know what halal is,Pork
2016/04/20 8:39:38 PM MDT,Less than once a month,Not important,Very important,Very important,Moderately important,I prefer halal over regular meat,Chicken
